recipe_key,filename,title_cs,title_en,alt_cs,alt_en,required_width,required_height,country_iso,status,notes
caldo-verde,caldo-verde.jpg,"Caldo verde","Caldo Verde (Portuguese Kale Soup)","Caldo verde","Caldo Verde (Portuguese Kale Soup)",1600,900,PT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
cevapi,cevapi.jpg,Ćevapi,"Ćevapi (Balkan Grilled Meat Rolls)",Ćevapi,"Ćevapi (Balkan Grilled Meat Rolls)",1600,900,RS,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
ciorba-de-burta,ciorba-de-burta.jpg,"Ciorbă de burtă","Ciorbă de Burtă (Romanian Tripe Soup)","Ciorbă de burtă","Ciorbă de Burtă (Romanian Tripe Soup)",1600,900,RO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
colcannon,colcannon.jpg,Colcannon,Colcannon,Colcannon,Colcannon,1600,900,IE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
coq-au-vin,coq-au-vin.jpg,"Kohout na víně","Coq au Vin (Chicken Braised in Red Wine)","Kohout na víně","Coq au Vin (Chicken Braised in Red Wine)",1600,900,FR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
crepes,crepes.jpg,Crêpes,"Crêpes (French Thin Pancakes)",Crêpes,"Crêpes (French Thin Pancakes)",1600,900,FR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
crni-rizot,crni-rizot.jpg,"Černé rizoto","Croatian Black Risotto (Crni Rižot)","Černé rizoto","Croatian Black Risotto (Crni Rižot)",1600,900,HR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
croquetas-de-jamon,croquetas-de-jamon.jpg,"Croquetas de jamón","Croquetas de Jamón (Spanish Ham Croquettes)","Croquetas de jamón","Croquetas de Jamón (Spanish Ham Croquettes)",1600,900,ES,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
currywurst,currywurst.jpg,Currywurst,"Currywurst (Berlin Sausage with Curry Ketchup)",Currywurst,"Currywurst (Berlin Sausage with Curry Ketchup)",1600,900,DE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
demikat,demikat.jpg,Demikát,"Demikát (Slovak Potato and Mushroom Soup)",Demikát,"Demikát (Slovak Potato and Mushroom Soup)",1600,900,SK,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
dobos-torta,dobos-torta.jpg,"Dobos torta","Dobos Torte (Hungarian Caramel-Topped Layer Cake)","Dobos torta","Dobos Torte (Hungarian Caramel-Topped Layer Cake)",1600,900,HU,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
dublin-coddle,dublin-coddle.jpg,"Dublin coddle","Dublin Coddle","Dublin coddle","Dublin Coddle",1600,900,IE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
farikal,farikal.jpg,Fårikål,"Fårikål (Norwegian Lamb and Cabbage Stew)",Fårikål,"Fårikål (Norwegian Lamb and Cabbage Stew)",1600,900,NO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
fish-and-chips,fish-and-chips.jpg,"Fish and chips","Fish and Chips","Fish and chips","Fish and Chips",1600,900,GB,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
fiskekaker,fiskekaker.jpg,Fiskekaker,"Fiskekaker (Norwegian Fish Cakes)",Fiskekaker,"Fiskekaker (Norwegian Fish Cakes)",1600,900,NO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
fiskesuppe,fiskesuppe.jpg,"Norská rybí polévka","Norwegian Fish Soup (Fiskesuppe)","Norská rybí polévka","Norwegian Fish Soup (Fiskesuppe)",1600,900,NO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
francesinha,francesinha.jpg,Francesinha,"Francesinha (Porto Sandwich in Beer Sauce)",Francesinha,"Francesinha (Porto Sandwich in Beer Sauce)",1600,900,PT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
fritule,fritule.jpg,Fritule,"Fritule (Croatian Fried Doughnuts)",Fritule,"Fritule (Croatian Fried Doughnuts)",1600,900,HR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
gazpacho,gazpacho.jpg,Gazpacho,Gazpacho,Gazpacho,Gazpacho,1600,900,ES,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
gibanica,gibanica.jpg,Gibanica,"Gibanica (Serbian Cheese Pastry)",Gibanica,"Gibanica (Serbian Cheese Pastry)",1600,900,RS,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
golabki,golabki.jpg,Gołąbki,"Gołąbki (Polish Stuffed Cabbage Rolls)",Gołąbki,"Gołąbki (Polish Stuffed Cabbage Rolls)",1600,900,PL,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
gravlax,gravlax.jpg,Gravlax,"Gravlax (Cured Salmon)",Gravlax,"Gravlax (Cured Salmon)",1600,900,SE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
gulyas,gulyas.jpg,Gulyás,"Hungarian Goulash Soup (Gulyás)",Gulyás,"Hungarian Goulash Soup (Gulyás)",1600,900,HU,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
halaszle,halaszle.jpg,Halászlé,"Halászlé (Hungarian Fisherman's Soup)",Halászlé,"Halászlé (Hungarian Fisherman's Soup)",1600,900,HU,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
horiatiki,horiatiki.jpg,"Řecký salát","Greek Salad (Horiatiki)","Řecký salát","Greek Salad (Horiatiki)",1600,900,GR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
idrijski-zlikrofi,idrijski-zlikrofi.jpg,"Idrijski žlikrofi","Idrijski Žlikrofi (Slovenian Hat-Shaped Dumplings)","Idrijski žlikrofi","Idrijski Žlikrofi (Slovenian Hat-Shaped Dumplings)",1600,900,SI,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
irish-soda-bread,irish-soda-bread.jpg,"Irský sodový chléb","Irish Soda Bread","Irský sodový chléb","Irish Soda Bread",1600,900,IE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
irish-stew,irish-stew.jpg,"Irský guláš","Irish Stew","Irský guláš","Irish Stew",1600,900,IE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
janssons-frestelse,janssons-frestelse.jpg,"Janssonovo pokušení","Jansson's Temptation (Janssons Frestelse)","Janssonovo pokušení","Jansson's Temptation (Janssons Frestelse)",1600,900,SE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
jota,jota.jpg,Jota,"Jota (Slovenian Sauerkraut and Bean Soup)",Jota,"Jota (Slovenian Sauerkraut and Bean Soup)",1600,900,SI,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kaiserschmarrn,kaiserschmarrn.jpg,Kaiserschmarrn,"Kaiserschmarrn (Austrian Shredded Pancake)",Kaiserschmarrn,"Kaiserschmarrn (Austrian Shredded Pancake)",1600,900,AT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kanelbullar,kanelbullar.jpg,"Skořicové šneky","Kanelbullar (Swedish Cinnamon Buns)","Skořicové šneky","Kanelbullar (Swedish Cinnamon Buns)",1600,900,SE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kapustnica,kapustnica.jpg,Kapustnica,"Kapustnica (Slovak Sauerkraut and Smoked Meat Soup)",Kapustnica,"Kapustnica (Slovak Sauerkraut and Smoked Meat Soup)",1600,900,SK,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kartoffelpuffer,kartoffelpuffer.jpg,Kartoffelpuffer,"Kartoffelpuffer (German Potato Pancakes)",Kartoffelpuffer,"Kartoffelpuffer (German Potato Pancakes)",1600,900,DE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kavarma,kavarma.jpg,Kavarma,"Kavarma (Bulgarian Braised Meat)",Kavarma,"Kavarma (Bulgarian Braised Meat)",1600,900,BG,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kebapche,kebapche.jpg,Kebapče,"Kebapche (Bulgarian Grilled Meat Rolls)",Kebapče,"Kebapche (Bulgarian Grilled Meat Rolls)",1600,900,BG,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kjottkaker,kjottkaker.jpg,"Norské masové karbanátky","Norwegian Meat Patties (Kjøttkaker)","Norské masové karbanátky","Norwegian Meat Patties (Kjøttkaker)",1600,900,NO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
konigsberger-klopse,konigsberger-klopse.jpg,"Königsberger Klopse","Königsberger Klopse (German Meatballs in Caper Sauce)","Königsberger Klopse","Königsberger Klopse (German Meatballs in Caper Sauce)",1600,900,DE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kottbullar,kottbullar.jpg,"Švédské masové kuličky","Swedish Meatballs (Köttbullar)","Švédské masové kuličky","Swedish Meatballs (Köttbullar)",1600,900,SE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kranjska-klobasa,kranjska-klobasa.jpg,"Kranjská klobása","Kranjska Klobasa (Carniolan Sausage)","Kranjská klobása","Kranjska Klobasa (Carniolan Sausage)",1600,900,SI,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
kulajda,kulajda.jpg,Kulajda,"Kulajda (South Bohemian Sour Cream and Mushroom Soup)",Kulajda,"Kulajda (South Bohemian Sour Cream and Mushroom Soup)",1600,900,CZ,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
langos,langos.jpg,Lángos,"Lángos (Hungarian Fried Dough)",Lángos,"Lángos (Hungarian Fried Dough)",1600,900,HU,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
lasagne-alla-bolognese,lasagne-alla-bolognese.jpg,"Lasagne alla Bolognese","Lasagne alla Bolognese","Lasagne alla Bolognese","Lasagne alla Bolognese",1600,900,IT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
lefse,lefse.jpg,Lefse,"Lefse (Norwegian Potato Flatbread)",Lefse,"Lefse (Norwegian Potato Flatbread)",1600,900,NO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
lokse,lokse.jpg,Lokše,"Lokše (Slovak Potato Flatbread)",Lokše,"Lokše (Slovak Potato Flatbread)",1600,900,SK,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
mamaliga,mamaliga.jpg,Mămăligă,"Mămăligă (Romanian Cornmeal Porridge)",Mămăligă,"Mămăligă (Romanian Cornmeal Porridge)",1600,900,RO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
mici,mici.jpg,Mici,"Mici (Romanian Grilled Meat Rolls)",Mici,"Mici (Romanian Grilled Meat Rolls)",1600,900,RO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
moussaka,moussaka.jpg,Moussaka,Moussaka,Moussaka,Moussaka,1600,900,GR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
ossobuco-alla-milanese,ossobuco-alla-milanese.jpg,"Ossobuco alla Milanese","Ossobuco alla Milanese (Braised Veal Shank)","Ossobuco alla Milanese","Ossobuco alla Milanese (Braised Veal Shank)",1600,900,IT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
paella-valenciana,paella-valenciana.jpg,"Paella Valenciana","Paella Valenciana","Paella Valenciana","Paella Valenciana",1600,900,ES,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
papanasi,papanasi.jpg,Papanași,"Papanași (Romanian Cottage Cheese Doughnuts)",Papanași,"Papanași (Romanian Cottage Cheese Doughnuts)",1600,900,RO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
paprikas-csirke,paprikas-csirke.jpg,"Paprikás csirke","Chicken Paprikash (Paprikás Csirke)","Paprikás csirke","Chicken Paprikash (Paprikás Csirke)",1600,900,HU,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
pasteis-de-nata,pasteis-de-nata.jpg,"Pastéis de nata","Pastéis de Nata (Portuguese Custard Tarts)","Pastéis de nata","Pastéis de Nata (Portuguese Custard Tarts)",1600,900,PT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
pasticada,pasticada.jpg,Pašticada,"Pašticada (Dalmatian Braised Beef)",Pašticada,"Pašticada (Dalmatian Braised Beef)",1600,900,HR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
patatas-bravas,patatas-bravas.jpg,"Patatas bravas","Patatas Bravas","Patatas bravas","Patatas Bravas",1600,900,ES,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
peka,peka.jpg,Peka,"Peka (Croatian Under-the-Bell Roast)",Peka,"Peka (Croatian Under-the-Bell Roast)",1600,900,HR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
pierogi-ruskie,pierogi-ruskie.jpg,"Pierogi ruskie","Pierogi Ruskie (Polish Potato and Curd Cheese Dumplings)","Pierogi ruskie","Pierogi Ruskie (Polish Potato and Curd Cheese Dumplings)",1600,900,PL,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
pirohy-bryndza,pirohy-bryndza.jpg,"Pirohy s bryndzou","Slovak Pirohy with Bryndza Cheese","Pirohy s bryndzou","Slovak Pirohy with Bryndza Cheese",1600,900,SK,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
pizza-margherita,pizza-margherita.jpg,"Pizza Margherita","Pizza Margherita","Pizza Margherita","Pizza Margherita",1600,900,IT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
placki-ziemniaczane,placki-ziemniaczane.jpg,"Placki ziemniaczane","Placki Ziemniaczane (Polish Potato Pancakes)","Placki ziemniaczane","Placki Ziemniaczane (Polish Potato Pancakes)",1600,900,PL,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
pljeskavica,pljeskavica.jpg,Pljeskavica,"Pljeskavica (Serbian Grilled Meat Patty)",Pljeskavica,"Pljeskavica (Serbian Grilled Meat Patty)",1600,900,RS,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
potica,potica.jpg,Potica,"Potica (Slovenian Nut Roll)",Potica,"Potica (Slovenian Nut Roll)",1600,900,SI,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
prebranac,prebranac.jpg,Prebranac,"Prebranac (Serbian Baked Beans)",Prebranac,"Prebranac (Serbian Baked Beans)",1600,900,RS,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
quiche-lorraine,quiche-lorraine.jpg,"Quiche Lorraine","Quiche Lorraine (French Bacon and Egg Tart)","Quiche Lorraine","Quiche Lorraine (French Bacon and Egg Tart)",1600,900,FR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
ratatouille,ratatouille.jpg,Ratatouille,"Ratatouille (Provençal Stewed Vegetables)",Ratatouille,"Ratatouille (Provençal Stewed Vegetables)",1600,900,FR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
risotto-alla-milanese,risotto-alla-milanese.jpg,"Risotto alla Milanese","Risotto alla Milanese (Milanese Saffron Risotto)","Risotto alla Milanese","Risotto alla Milanese (Milanese Saffron Risotto)",1600,900,IT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
sachertorte,sachertorte.jpg,Sachertorte,"Sachertorte (Original Viennese Chocolate Cake)",Sachertorte,"Sachertorte (Original Viennese Chocolate Cake)",1600,900,AT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
sarma,sarma.jpg,Sarma,"Sarma (Serbian Stuffed Cabbage Rolls)",Sarma,"Sarma (Serbian Stuffed Cabbage Rolls)",1600,900,RS,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
sarmale,sarmale.jpg,Sarmale,"Sarmale (Romanian Stuffed Cabbage Rolls)",Sarmale,"Sarmale (Romanian Stuffed Cabbage Rolls)",1600,900,RO,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
sauerbraten,sauerbraten.jpg,Sauerbraten,"Sauerbraten (German Marinated Pot Roast)",Sauerbraten,"Sauerbraten (German Marinated Pot Roast)",1600,900,DE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
schweinshaxe,schweinshaxe.jpg,Schweinshaxe,"Schweinshaxe (German Roasted Pork Knuckle)",Schweinshaxe,"Schweinshaxe (German Roasted Pork Knuckle)",1600,900,DE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
shepherds-pie,shepherds-pie.jpg,"Pastýřský koláč","Shepherd's Pie","Pastýřský koláč","Shepherd's Pie",1600,900,GB,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
shopska-salata,shopska-salata.jpg,"Šopský salát","Shopska Salad (Shopska Salata)","Šopský salát","Shopska Salad (Shopska Salata)",1600,900,BG,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
souvlaki,souvlaki.jpg,Souvlaki,"Souvlaki (Greek Grilled Skewers)",Souvlaki,"Souvlaki (Greek Grilled Skewers)",1600,900,GR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
spaghetti-carbonara,spaghetti-carbonara.jpg,"Spaghetti Carbonara","Spaghetti Carbonara","Spaghetti Carbonara","Spaghetti Carbonara",1600,900,IT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
spanakopita,spanakopita.jpg,Spanakopita,"Spanakopita (Greek Spinach Pie)",Spanakopita,"Spanakopita (Greek Spinach Pie)",1600,900,GR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
sticky-toffee-pudding,sticky-toffee-pudding.jpg,"Sticky toffee pudding","Sticky Toffee Pudding","Sticky toffee pudding","Sticky Toffee Pudding",1600,900,GB,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
struklji,struklji.jpg,Štrukli,"Štruklji (Slovenian Cottage Cheese Rolls)",Štrukli,"Štruklji (Slovenian Cottage Cheese Rolls)",1600,900,SI,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
svickova,svickova.jpg,"Svíčková na smetaně","Czech Beef Sirloin in Cream Sauce (Svíčková)","Svíčková na smetaně","Czech Beef Sirloin in Cream Sauce (Svíčková)",1600,900,CZ,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
tafelspitz,tafelspitz.jpg,Tafelspitz,"Tafelspitz (Viennese Boiled Beef)",Tafelspitz,"Tafelspitz (Viennese Boiled Beef)",1600,900,AT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
tarator,tarator.jpg,Tarator,"Tarator (Bulgarian Cold Yogurt Soup)",Tarator,"Tarator (Bulgarian Cold Yogurt Soup)",1600,900,BG,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
tiroler-knodel,tiroler-knodel.jpg,"Tyrolské knedlíky","Tyrolean Bread Dumplings (Tiroler Knödel)","Tyrolské knedlíky","Tyrolean Bread Dumplings (Tiroler Knödel)",1600,900,AT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
toast-skagen,toast-skagen.jpg,"Toast Skagen","Toast Skagen (Swedish Shrimp Toast)","Toast Skagen","Toast Skagen (Swedish Shrimp Toast)",1600,900,SE,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
tortilla-espanola,tortilla-espanola.jpg,"Tortilla Española","Tortilla Española (Spanish Potato Omelet)","Tortilla Española","Tortilla Española (Spanish Potato Omelet)",1600,900,ES,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
tzatziki,tzatziki.jpg,Tzatziki,Tzatziki,Tzatziki,Tzatziki,1600,900,GR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
vepro-knedlo-zelo,vepro-knedlo-zelo.jpg,"Vepřo knedlo zelo","Czech Roast Pork with Dumpling and Sauerkraut (Vepřo Knedlo Zelo)","Vepřo knedlo zelo","Czech Roast Pork with Dumpling and Sauerkraut (Vepřo Knedlo Zelo)",1600,900,CZ,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
wiener-schnitzel,wiener-schnitzel.jpg,"Vídeňský řízek","Wiener Schnitzel (Viennese Breaded Veal Cutlet)","Vídeňský řízek","Wiener Schnitzel (Viennese Breaded Veal Cutlet)",1600,900,AT,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
yorkshire-pudding,yorkshire-pudding.jpg,"Yorkshire pudding","Yorkshire Pudding","Yorkshire pudding","Yorkshire Pudding",1600,900,GB,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
zagorski-strukli,zagorski-strukli.jpg,"Zagorski štrukli","Zagorski Štrukli (Croatian Cottage Cheese Rolls)","Zagorski štrukli","Zagorski Štrukli (Croatian Cottage Cheese Rolls)",1600,900,HR,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
zurek,zurek.jpg,Żurek,"Żurek (Polish Sour Rye Soup)",Żurek,"Żurek (Polish Sour Rye Soup)",1600,900,PL,TO_CREATE,"No source photo yet — commission per docs/image-production/europe-1-recipe-images.md."
